Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2024-05-28,jillibean15,US,Powerline [A Goofy Movie],0.64,0%,20%,0.00,0.64,0.13,0.51,0.69,USD,"💰 Transferred <time datetime=""2024-07-29T15:05:13Z"" title=""July 29, 2024 15:05 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 29, 2024</time>",,,
2024-05-27,Asphalt,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-07-29T15:05:13Z"" title=""July 29, 2024 15:05 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 29, 2024</time>",,,
2024-05-26,randomfilms,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-07-29T15:05:13Z"" title=""July 29, 2024 15:05 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 29, 2024</time>",,,
2024-05-24,janisdubovics,LV,Love Death + Robots : Orange Robot #TWOTREESROBOT,0.50,21%,20%,0.02,0.52,0.10,0.40,0.52,EUR,"💰 Transferred <time datetime=""2024-07-29T15:05:13Z"" title=""July 29, 2024 15:05 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 29, 2024</time>",,,
2024-05-19,onisaizo,BR,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,2.80,BRL,"💰 Transferred <time datetime=""2024-07-29T15:05:13Z"" title=""July 29, 2024 15:05 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 29, 2024</time>",,,
2024-05-17,xmcardenas,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-07-29T15:05:13Z"" title=""July 29, 2024 15:05 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 29, 2024</time>",,,
2024-05-14,weetjegames,NL,X-men Cyclops Visor #COSPLAYXCULTS,0.50,21%,20%,0.02,0.52,0.10,0.40,0.52,EUR,"💰 Transferred <time datetime=""2024-07-29T15:05:13Z"" title=""July 29, 2024 15:05 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 29, 2024</time>",,,
2024-05-06,veronicalotito,IT,X-men Cyclops Visor #COSPLAYXCULTS,0.50,22%,20%,0.02,0.52,0.10,0.40,0.52,EUR,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-05-06,drdelva,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.53,USD,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-05-03,steven22wlh,US,Powerline [A Goofy Movie],0.65,0%,20%,0.00,0.65,0.13,0.52,0.69,USD,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-05-01,AndromedaHound,PH,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
